threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Password Attack,MFA,-0.008306458718569812,-0.016773309936500464,-0.00849675940033375,ONG,0.00849675940033375
APT,DLP,-0.003200248934740931,0.00030411321086087906,-0.008459623770934344,ONG,0.008459623770934344
Password Attack,CR,0.009732833004439426,0.007550988782776158,0.007919437230608534,ONG,0.007919437230608534
Supply Chain Attack,AD,0.016562937751677175,0.020911014050553244,-0.007584650952717449,ONG,0.007584650952717449
APT,AC,0.025194398438349763,0.025530553529510187,0.007485142601936168,ONG,0.007485142601936168
MITM,PKI,0.008136854307628144,0.004526352177758708,0.006632082185930245,ONG,0.006632082185930245
DDoS,BH,-0.002202250935635771,-0.011991703850451452,-0.006056656345003232,ONG,0.006056656345003232
Supply Chain Attack,CR,0.014747218330633008,0.017699933710388083,-0.005545921709415554,ONG,0.005545921709415554
Session Hijacking,AD,0.006426441413858573,0.019115890998271667,-0.0052501400039025965,ONG,0.0052501400039025965
Session Hijacking,SM,0.004040366663279088,0.01775610986977566,-0.0050884012772000236,ONG,0.0050884012772000236
DDoS,PF,0.003161494033747695,0.004919804169643031,-0.004201828019123767,ONG,0.004201828019123767
Vulnerability,PT,-0.0015649963728869287,-0.004938961944076124,-0.0033737338872399845,ONG,0.0033737338872399845
Insider Threat,LP,0.019847160825902755,0.02168519081101411,0.0033472783544832205,ONG,0.0033472783544832205
Session Hijacking,CR,0.004610721992814408,0.015904810658106505,-0.0032114107606007005,ONG,0.0032114107606007005
Session Hijacking,SAT,-0.002182343828211558,0.014251188555320529,-0.0024330689279771687,ONG,0.0024330689279771687
Supply Chain Attack,BC,0.01518832569608112,0.017405328727308933,0.0023345144252198136,ONG,0.0023345144252198136
APT,LP,0.014964441097982987,0.017833578898421187,-0.0020401684679273078,ONG,0.0020401684679273078
Password Attack,MA,0.00385324104241766,0.006165377444081059,-0.0013538773536124575,ONG,0.0013538773536124575
DDoS,BT,0.002950965774326658,0.006256008906244633,0.0008778014734383369,ONG,0.0008778014734383369
IoT Device Attack,IdM,0.00123865723995073,-0.001070380466515225,-0.00044459981207069693,ONG,0.00044459981207069693
Brute Force Attack,OTP,0.0003325091771938978,-0.005378836760736684,0.0002901965575618966,ONG,0.0002901965575618966
DDoS,RL,0.001258333877457829,0.003438856955847641,0.00019984912765981058,ONG,0.00019984912765981058
Brute Force Attack,ML/DL,0.03717654369493204,0.034608171884298815,0.06278603288993657,OWG,0.06278603288993657
Malware,ML/DL,0.04292185396134035,0.041036881828146486,0.054902195480023445,OWG,0.054902195480023445
Insider Threat,NLP/LLM,0.040877657578350456,0.037698069006224855,0.045009375671591384,OWG,0.045009375671591384
