threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
IoT Device Attack,MFA,0.01541487499949474,0.00558639894546815,-0.0005505800941896325,SNG,0.0005505800941896325
Malware,PT,0.03617120778741148,0.029364422805777418,0.0004265707981554086,SNG,0.0004265707981554086
Vulnerability,SIEM,0.13830475174194382,0.14261774133328572,0.22456069002258605,SWG,0.22456069002258605
Deepfake,3DFR,0.041276897007878344,0.05975474992756147,0.07161764890195084,SWG,0.07161764890195084
Insider Threat,ML/DL,0.03121950039810331,0.0347988781915366,0.06367458655939094,SWG,0.06367458655939094
IoT Device Attack,ML/DL,0.036770964205857466,0.0381701216406641,0.0632901618498834,SWG,0.0632901618498834
MITM,ML/DL,0.0263313274146565,0.029218389161316815,0.05994138867781199,SWG,0.05994138867781199
APT,ML/DL,0.02633678067018354,0.030947266278943675,0.058287139736980416,SWG,0.058287139736980416
Insider Threat,IDS/IPS,0.037464934640574356,0.04647707386021283,0.05738862250852037,SWG,0.05738862250852037
IoT Device Attack,IDS/IPS,0.04301639844832852,0.049848317309340334,0.05700419779901283,SWG,0.05700419779901283
Brute Force Attack,IDS/IPS,0.04342197793740309,0.04628636755297505,0.056500068839066,SWG,0.056500068839066
Password Attack,ML/DL,0.013049630487792915,0.01581041275869548,0.05534398254373928,SWG,0.05534398254373928
APT,IDS/IPS,0.03258221491265459,0.04262546194761991,0.052001175686109846,SWG,0.052001175686109846
Vulnerability,ML/DL,0.005185649801041942,0.006733497078292942,0.05110189079462805,SWG,0.05110189079462805
Password Attack,IDS/IPS,0.01929506473026396,0.02748860842737172,0.049058018492868706,SWG,0.049058018492868706
DDoS,ML/DL,0.011511405661808813,0.015091436565965169,0.048888534229640186,SWG,0.048888534229640186
Vulnerability,IDS/IPS,0.011431084043512988,0.018411692746969178,0.04481592674375748,SWG,0.04481592674375748
Session Hijacking,ML/DL,0.007927519476167896,0.024164234634025828,0.044213134552530044,SWG,0.044213134552530044
DDoS,IDS/IPS,0.01775683990427986,0.026769632234641405,0.042602570178769616,SWG,0.042602570178769616
Supply Chain Attack,ML/DL,0.018064015813986496,0.025959357686307406,0.04187862360371519,SWG,0.04187862360371519
Phishing,ML/DL,0.005055295952672419,0.010105183611874837,0.03518581805911162,SWG,0.03518581805911162
Trojan,ML/DL,-0.0011798104948925376,0.007812504177774423,0.03207606165222863,SWG,0.03207606165222863
Backdoor,ML/DL,0.013149616028199168,0.015074321183129522,0.029358089853872272,SWG,0.029358089853872272
Trojan,IDS/IPS,0.005065623747578509,0.01949069984645066,0.02579009760135806,SWG,0.02579009760135806
Account Hijacking,ML/DL,-0.010831107246630464,0.0012480350461160454,0.022678726401701387,SWG,0.022678726401701387
Account Hijacking,IDS/IPS,-0.004585673004159417,0.012926230714792283,0.016392762350830814,SWG,0.016392762350830814
Trojan,NLP/LLM,0.008478346685354604,0.01071169499246268,0.013410850764429069,SWG,0.013410850764429069
Deepfake,ML/DL,-0.013258891402040904,-0.0021092422950284204,0.005895428309074395,SWG,0.005895428309074395
