month,node,pred,ci_lower,ci_upper
2023-01-01,DA,910.2199096679688,701.5857543945312,1118.85400390625
2023-01-01,DAS,282.6665954589844,195.78271484375,369.55047607421875
2023-01-01,DB,1399.090576171875,939.2861328125,1858.89501953125
2023-01-01,DBI,160.66920471191406,109.50170135498047,211.83670043945312
2023-01-01,DD,197.17799377441406,139.7611083984375,254.59487915039062
2023-01-01,DLD,44.831111907958984,26.89783477783203,62.76438903808594
2023-01-01,DLP,41.31653594970703,26.68902587890625,55.94404602050781
2023-01-01,DLT,41.47294235229492,22.779909133911133,60.165977478027344
2023-01-01,DM,529.7048950195312,386.74749755859375,672.6622924804688
2023-01-01,DNSSEC,10.083394050598145,4.014586448669434,16.152202606201172
2023-01-01,DP,256.3746643066406,185.39581298828125,327.353515625
2023-01-01,DR,651.3175659179688,456.1061096191406,846.529052734375
2023-01-01,DRM,46.077266693115234,26.643524169921875,65.5110092163086
2023-01-01,DS,347.4137878417969,253.21096801757812,441.6166076660156
2023-01-01,DT,234.44061279296875,163.20025634765625,305.68096923828125
2023-01-01,DW,173.2628631591797,119.21115112304688,227.3145751953125
2023-01-01,FIM,49.27069854736328,31.335086822509766,67.20631408691406
2023-01-01,FV,100.10551452636719,67.18905639648438,133.02197265625
2023-01-01,GA,818.3187866210938,583.342041015625,1053.2955322265625
2023-01-01,GM,304.66900634765625,224.5802001953125,384.7578125
2023-01-01,GT,145.93324279785156,110.58819580078125,181.27828979492188
2023-01-01,HG,483.9395751953125,330.04241943359375,637.8367309570312
2023-01-01,HP,229.36331176757812,153.38845825195312,305.3381652832031
2023-01-01,Https,627.0465087890625,442.7449035644531,811.34814453125
2023-01-01,IBE,18.67279624938965,10.79757308959961,26.548019409179688
2023-01-01,IDS/IPS,9.456939697265625,3.298327922821045,15.615550994873047
2023-01-01,IR,1930.858642578125,1364.9737548828125,2496.74365234375
2023-01-01,IdM,32.29265213012695,23.01483154296875,41.570472717285156
2023-01-01,KD,176.97418212890625,128.73037719726562,225.21798706054688
2023-01-01,LD,183.0868682861328,108.55535888671875,257.6183776855469
2023-01-01,LP,317.2156982421875,236.94100952148438,397.4903869628906
2023-01-01,MA,1520.8853759765625,1006.2021484375,2035.568603515625
2023-01-01,MFA,49.1048583984375,29.16455841064453,69.04515838623047
2023-01-01,ML/DL,7.474440574645996,2.0898852348327637,12.85899543762207
2023-01-01,MS,3002.74169921875,2183.39990234375,3822.08349609375
2023-01-01,MTD,54.424007415771484,37.759010314941406,71.08900451660156
2023-01-01,NI,1442.02734375,1012.6756591796875,1871.3790283203125
2023-01-01,NLP/LLM,14.012001991271973,2.188889503479004,25.835113525390625
2023-01-01,NS,580.3984375,391.1973876953125,769.5994873046875
2023-01-01,OD,139.35150146484375,103.48460388183594,175.21839904785156
2023-01-01,OTP,20.751739501953125,12.346202850341797,29.157276153564453
2023-01-01,PF,260.80133056640625,196.52862548828125,325.07403564453125
2023-01-01,PH,3994.785400390625,2924.15283203125,5065.41796875
2023-01-01,PKI,21.308712005615234,12.193280220031738,30.424144744873047
